Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
400716,Introduction to the Theory of Computation,Michael Sipser,"Sipser, Michael",,"=""0534950973""","=""9780534950972""",0,4.16,Course Technology,Hardcover,431,2005,1996,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#86), technical (#16)",physically-unread-books,,,,,,,0,,,,,
108986,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","=""0262032937""","=""9780262032933""",0,4.27,MIT Press (MA),Hardcover,1180,2001,1989,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#85), technical (#15)",physically-unread-books,,,,,,,0,,,,,
21899045,Code Complete (2nd Edition) (Developer Best Practices),Steve McConnell,"McConnell, Steve",,"=""""","=""""",0,4.26,Microsoft Press,Kindle Edition,960,2004,1993,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#84), technical (#14)",physically-unread-books,,,,,,,0,,,,,
6367009,Optics,Eugene Hecht,"Hecht, Eugene",Alfred Zajac,"=""020111609X""","=""9780201116090""",0,3.88,Addison-Wesley,Hardcover,640,1987,1974,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#83), technical (#13)",physically-unread-books,,,,,,,0,,,,,
349426,"The Memory Book: The Classic Guide to Improving Your Memory at Work, at School, and at Play",Harry Lorayne,"Lorayne, Harry",Jerry Lucas,"=""0345337581""","=""9780345337580""",0,3.96,Ballantine Books,Paperback,224,1986,1974,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#82), technical (#12)",physically-unread-books,,,,,,,0,,,,,
2324327,The Oxford Book of Modern Science Writing,Richard Dawkins,"Dawkins, Richard","James Hopwood Jeans, Sydney Brenner, Steve Jones, J.B.S. Haldane, Mark Ridley, John Maynard Smith, Fred Hoyle, D'Arcy Wentworth Thompson, George Gaylord Simpson, Richard Fortey, Colin Blakemore, Martin J. Rees, Richard Gregory, Nicholas Humphrey, Steven Pinker, Jared Diamond, David Lack, Niko Tinbergen, Robert Trivers, Alister Hardy, Rachel Carson, Loren Eiseley, Edward O. Wilson, Helen Cronin, R.A. Fisher, Theodosius Dobzhansky, George C. Williams, Francis Crick, Matt Ridley, Arthur Eddington, C.P. Snow, Freeman Dyson, J. Robert Oppenheimer, Max F. Perutz, Barbara Gamow, George Gamow, Jacob Bronowski, Peter Medawar, Jonathan Kingdon, Richard Leakey, Roger Lewin, Donald C. Johanson, Maitland A. Edey, Stephen Jay Gould, John Tyler Bonner, Oliver Sacks, Lewis Thomas, James Watson, Lewis Wolpert, Peter   Atkins","=""0199216800""","=""9780199216802""",0,4.12,"Oxford University Press, USA",Hardcover,419,2008,2008,,2016/01/28,physically-unread-books,physically-unread-books (#80),physically-unread-books,,,,,,,0,,,,,
787845,Induction and Analogy in Mathematics,George Pólya,"Pólya, George",,"=""0691025096""","=""9780691025094""",0,4.30,Princeton University Press,Paperback,296,1990,1954,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#79), technical (#11)",physically-unread-books,,,,,,,0,,,,,
304482,Secrets and Lies: Digital Security in a Networked World,Bruce Schneier,"Schneier, Bruce",,"=""0471453803""","=""0723812595563""",0,3.95,John Wiley & Sons,Paperback,401,2004,2000,,2016/01/28,physically-unread-books,physically-unread-books (#78),physically-unread-books,,,,,,,0,,,,,
21547935,"Electronics from the Ground Up:: Learn by Hacking, Designing, and Inventing",Ronald Quan,"Quan, Ronald",,"=""0071837280""","=""9780071837286""",0,4.50,McGraw-Hill/Tab Electronics,Paperback,526,2014,2014,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#76), technical (#9)",physically-unread-books,,,,,,,0,,,,,
13479623,The Prince and the Discourses,Niccolò Machiavelli,"Machiavelli, Niccolò",,"=""""","=""""",0,3.92,Random House,Paperback,540,1950,1905,,2016/01/28,physically-unread-books,physically-unread-books (#75),physically-unread-books,,,,,,,0,,,,,
452725,Explaining Social Behavior: More Nuts and Bolts for the Social Sciences,Jon Elster,"Elster, Jon",,"=""0521777445""","=""9780521777445""",0,3.99,Cambridge University Press,Paperback,484,2007,2000,,2016/01/28,physically-unread-books,physically-unread-books (#73),physically-unread-books,,,,,,,0,,,,,
897522,Napoleon as Military Commander,James Marshall-Cornwall,"Marshall-Cornwall, James",,"=""0141391014""","=""9780141391014""",0,3.31,Penguin Books,Paperback,320,2002,1967,,2016/01/28,physically-unread-books,physically-unread-books (#72),physically-unread-books,,,,,,,0,,,,,
638816,Copies in Seconds: How a Lone Inventor and an Unknown Company Created the Biggest Communication Breakthrough Since Gutenberg--Chester Carlson and the Birth of Xerox,David Owen,"Owen, David",,"=""0743251180""","=""9780743251181""",0,3.76,Simon & Schuster,Paperback,320,2005,2004,,2016/01/28,physically-unread-books,physically-unread-books (#68),physically-unread-books,,,,,,,0,,,,,
849859,The Consolation of Philosophy,Boethius,"Boethius, Boethius",V.E. Watts,"=""0140442081""","=""9780140442083""",0,3.94,Penguin Classics,Paperback,187,1969,523,,2016/01/28,physically-unread-books,physically-unread-books (#67),physically-unread-books,,,,,,,0,,,,,
22436684,The Rise of Theodore Roosevelt Publisher: Modern Library,Edmund Morris,"Morris, Edmund",,"=""""","=""""",0,4.23,,Paperback,,,1979,,2016/01/28,physically-unread-books,physically-unread-books (#66),physically-unread-books,,,,,,,0,,,,,
93426,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""0609809644""","=""9780609809648""",0,4.00,Broadway Books,Paperback,312,2005,2004,,2016/01/28,physically-unread-books,physically-unread-books (#65),physically-unread-books,,,,,,,0,,,,,
81788,Why We Get Sick: The New Science of Darwinian Medicine,Randolph M. Nesse,"Nesse, Randolph M.",George C. Williams,"=""0679746749""","=""9780679746744""",0,4.08,Vintage,Paperback,304,1996,1994,,2016/01/28,physically-unread-books,physically-unread-books (#64),physically-unread-books,,,,,,,0,,,,,
361921,Typo: The Last American Typesetter or How I Made and Lost 4 Million Dollars,David Silverman,"Silverman, David",,"=""1933368659""","=""9781933368658""",0,3.55,Soft Skull Press,Paperback,352,2007,2007,,2016/01/28,physically-unread-books,physically-unread-books (#63),physically-unread-books,,,,,,,0,,,,,
13234710,The Founder's Dilemmas: Anticipating and Avoiding the Pitfalls That Can Sink a Startup,Noam Wasserman,"Wasserman, Noam",,"=""0691149135""","=""9780691149134""",0,4.06,Princeton University Press,Hardcover,496,2012,2011,,2016/01/28,physically-unread-books,physically-unread-books (#61),physically-unread-books,,,,,,,0,,,,,
2103067,The Art of the Advantage: 36 Strategies to Seize the Competitive Edge,Kaihan Krippendorff,"Krippendorff, Kaihan",,"=""0976582341""","=""9780976582342""",0,4.38,Th Strategy Learning Center,Paperback,234,2007,2007,,2016/01/28,physically-unread-books,physically-unread-books (#60),physically-unread-books,,,,,,,0,,,,,
24896988,The Most Good You Can Do: How Effective Altruism Is Changing Ideas about Living Ethically,Peter Singer,"Singer, Peter",,"=""""","=""9781922182692""",0,3.83,Text Publishing,,,2015,2015,,2016/01/28,physically-unread-books,physically-unread-books (#59),physically-unread-books,,,,,,,0,,,,,
21053076,Machiavelli in Hell,Sebastian De Grazia,"Grazia, Sebastian De",,"=""0330321013""","=""9780330321013""",0,3.77,Picador,Paperback,572,1992,1989,,2016/01/28,physically-unread-books,physically-unread-books (#58),physically-unread-books,,,,,,,0,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",0,4.14,Touchstone,Paperback,369,2013,2013,,2016/01/28,physically-unread-books,physically-unread-books (#57),physically-unread-books,,,,,,,0,,,,,
143628,Churchill,Roy  Jenkins,"Jenkins, Roy",,"=""0452283523""","=""9780452283527""",0,4.07,Plume,Paperback,1024,2002,2001,,2016/01/28,physically-unread-books,physically-unread-books (#56),physically-unread-books,,,,,,,1,,,unspecified,,
18668059,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""1591846358""","=""9781591846352""",0,4.01,Portfolio,Hardcover,224,2014,2014,,2016/01/28,physically-unread-books,physically-unread-books (#54),physically-unread-books,,,,,,,0,,,,,
18104725,The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,Michael Booth,"Booth, Michael",,"=""0224089625""","=""9780224089623""",0,3.86,Jonathan Cape,Paperback,416,2014,2014,,2016/01/28,physically-unread-books,physically-unread-books (#53),physically-unread-books,,,,,,,0,,,,,
13147230,"The Long Earth (The Long Earth, #1)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062067753""","=""9780062067753""",0,3.71,HarperCollins Harper,Hardcover,336,2012,2012,,2016/01/28,physically-unread-books,physically-unread-books (#52),physically-unread-books,,,,,,,0,,,,,
26235818,A Banquet of Consequences,Satyajit Das,"Das, Satyajit",,"=""""","=""""",0,3.86,e-penguin,Kindle Edition,278,2015,2015,,2016/01/28,physically-unread-books,physically-unread-books (#51),physically-unread-books,,,,,,,0,,,,,
7967,"Speaker for the Dead (The Ender Quintet, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",0,4.02,Tor Books,Paperback,382,1994,1986,,2016/01/28,physically-unread-books,physically-unread-books (#50),physically-unread-books,,,,,,,0,,,,,
192221,How to Solve It: A New Aspect of Mathematical Method,George Pólya,"Pólya, George",,"=""069111966X""","=""9780691119663""",0,4.16,Princeton University Press,Paperback,288,2015,1944,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#49), technical (#8)",physically-unread-books,,,,,,,0,,,,,
4126,Getting to Yes: Negotiating an agreement without giving in,Roger Fisher,"Fisher, Roger",,"=""1844131467""","=""9781844131464""",0,3.85,Random House Business,Paperback,224,1997,1981,,2016/01/28,physically-unread-books,physically-unread-books (#48),physically-unread-books,,,,,,,0,,,,,
974030,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Clara Winston, Richard Winston","=""0140034382""","=""9780140034387""",0,4.11,Penguin Modern Classics,Paperback,520,1973,1943,,2016/01/28,physically-unread-books,physically-unread-books (#47),physically-unread-books,,,,,,,0,,,,,
984566,Practical Cryptography,Niels Ferguson,"Ferguson, Niels",Bruce Schneier,"=""0471223573""","=""9780471223573""",0,4.14,Wiley,Paperback,385,2003,2003,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#44), technical (#7)",physically-unread-books,,,,,,,0,,,,,
3558620,Fundamental Mathematics,Thomas Leonard Wade,"Wade, Thomas Leonard",,"=""0070676526""","=""9780070676527""",0,3.00,McGraw-Hill Companies,Hardcover,559,1974,1974,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#43), technical (#6)",physically-unread-books,,,,,,,0,,,,,
9275030,Seven Pillars of Wisdom: A Triumph,T.E. Lawrence,"Lawrence, T.E.",,"=""""","=""""",0,4.01,Penguin Books,Paperback,700,1963,1922,,2016/01/28,physically-unread-books,physically-unread-books (#39),physically-unread-books,,,,,,,0,,,,,
24910058,Why Can't I Meditate?: how to get your mindfulness practice on track,Nigel Wellings,"Wellings, Nigel",,"=""""","=""""",0,4.40,Piatkus,Kindle Edition,352,2015,2015,,2016/01/28,physically-unread-books,physically-unread-books (#38),physically-unread-books,,,,,,,0,,,,,
21947208,"Claudius the God and His Wife Messalina (Claudius, #2)",Robert Graves,"Graves, Robert","Seneca, Suetonius","=""""","=""""",0,4.22,Vintage Books,Paperback,585,1962,1934,,2016/01/28,physically-unread-books,physically-unread-books (#37),physically-unread-books,,,,,,,0,,,,,
504363,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",Richard M. Rorty,"=""0679410775""","=""9780679410775""",0,4.19,Everyman's Library,Hardcover,239,1992,1962,,2016/01/28,physically-unread-books,physically-unread-books (#36),physically-unread-books,,,,,,,0,,,,,
13557008,The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company,Steven Gary Blank,"Blank, Steven Gary",Bob Dorf,"=""0984999302""","=""9780984999309""",0,4.18,K & S Ranch,Hardcover,608,2012,2012,,2016/01/28,physically-unread-books,physically-unread-books (#35),physically-unread-books,,,,,,,0,,,,,
11910905,The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,"Cabane, Olivia Fox",,"=""1591844568""","=""9781591844563""",0,3.91,Portfolio,Hardcover,264,2012,2012,,2016/01/28,physically-unread-books,physically-unread-books (#33),physically-unread-books,,,,,,,0,,,,,
910352,Picture This: How Pictures Work,Molly Bang,"Bang, Molly",,"=""0613300912""","=""9780613300919""",0,4.07,Turtleback Books,Hardcover,96,2000,2000,,2016/01/28,physically-unread-books,physically-unread-books (#30),physically-unread-books,,,,,,,0,,,,,
25770528,"Cooking for Geeks: Real Science, Great Cooks, and Good Food",Jeff Potter,"Potter, Jeff",,"=""1491928050""","=""9781491928059""",0,4.05,O'Reilly Media,Paperback,488,2015,2007,,2016/01/28,physically-unread-books,physically-unread-books (#29),physically-unread-books,,,,,,,0,,,,,
703532,"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,"Papert, Seymour",,"=""0465046746""","=""9780465046744""",0,4.26,Basic Books,Paperback,252,1993,1980,,2016/01/28,physically-unread-books,physically-unread-books (#27),physically-unread-books,,,,,,,0,,,,,
2912446,Nuclear Weapons: A Very Short Introduction,Joseph M. Siracusa,"Siracusa, Joseph M.",,"=""0199229546""","=""9780199229543""",0,3.61,"Oxford University Press, USA",Paperback,143,2008,2008,,2016/01/28,physically-unread-books,physically-unread-books (#25),physically-unread-books,,,,,,,0,,,,,
448710,Medea and Other Plays,Euripides,"Euripides, Euripides",Philip Vellacott,"=""0140441298""","=""9780140441291""",0,3.96,Penguin Classics,Paperback,205,1963,-428,,2016/01/28,physically-unread-books,physically-unread-books (#24),physically-unread-books,,,,,,,0,,,,,
2590,The Art of War by Sun Tzu - Special Edition,Sun Tzu,"Tzu, Sun","James H. Ford, Shawn Conners, Lionel Giles","=""0976072696""","=""9780976072690""",0,3.94,El Paso Norte Press,Paperback,268,2005,-512,,2016/01/28,physically-unread-books,physically-unread-books (#22),physically-unread-books,,,,,,,0,,,,,
13705622,Hacker's Delight,Henry S. Warren Jr.,"Jr., Henry S. Warren",,"=""0321842685""","=""9780321842688""",0,4.20,Addison-Wesley Professional,Hardcover,512,2012,2002,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#21), technical (#2)",physically-unread-books,,,,,,,0,,,,,
11797471,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,"Gertner, Jon",,"=""1594203288""","=""9781594203282""",0,4.07,Penguin Press,Hardcover,432,2012,2012,,2016/01/28,physically-unread-books,physically-unread-books (#20),physically-unread-books,,,,,,,0,,,,,
108583,The Corporation: The Pathological Pursuit of Profit and Power,Joel Bakan,"Bakan, Joel",,"=""0743247469""","=""9780743247467""",0,4.05,Free Press,Paperback,228,2005,2003,,2016/01/28,physically-unread-books,physically-unread-books (#19),physically-unread-books,,,,,,,0,,,,,
1173576,What Every Body is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,Joe Navarro,"Navarro, Joe",Marvin Karlins,"=""0061438294""","=""9780061438295""",0,3.88,Collins,Paperback,250,2008,2008,,2016/01/28,physically-unread-books,physically-unread-books (#17),physically-unread-books,,,,,,,0,,,,,
22049,The Godfather / Fortunate Pilgrim,Mario Puzo,"Puzo, Mario",,"=""0099279320""","=""9780099279327""",0,4.49,Arrow,,,1998,1998,,2016/01/28,physically-unread-books,physically-unread-books (#16),physically-unread-books,,,,,,,0,,,,,
4099,The Pragmatic Programmer: From Journeyman to Master,Andrew Hunt,"Hunt, Andrew",Dave Thomas,"=""020161622X""","=""9780201616224""",0,4.31,Addison-Wesley Professional,Paperback,321,1999,1999,,2016/01/28,physically-unread-books,physically-unread-books (#14),physically-unread-books,,,,,,,0,,,,,
216422,"The Last Command (Star Wars: The Thrawn Trilogy, #3)",Timothy Zahn,"Zahn, Timothy",,"=""0553564927""","=""9780553564921""",0,4.19,LucasBooks,Mass Market Paperback,467,1994,1993,,2016/01/28,physically-unread-books,physically-unread-books (#13),physically-unread-books,,,,,,,0,,,,,
216442,"Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)",Timothy Zahn,"Zahn, Timothy",,"=""0553560719""","=""9780553560718""",0,4.12,LucasBooks,Mass Market Paperback,439,1993,1992,,2016/01/28,physically-unread-books,physically-unread-books (#12),physically-unread-books,,,,,,,0,,,,,
216443,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,"Zahn, Timothy",,"=""0553296124""","=""9780553296129""",0,4.10,Bantam Spectra,Paperback,404,1992,1991,,2016/01/28,physically-unread-books,physically-unread-books (#11),physically-unread-books,,,,,,,0,,,,,
1961212,"The Complete Stories, Plays And Poems Of Oscar Wilde",Oscar Wilde,"Wilde, Oscar",,"=""1855010453""","=""9781855010451""",0,4.29,,,,,,,2016/01/28,physically-unread-books,physically-unread-books (#9),physically-unread-books,,,,,,,0,,,,,
7937510,Naked Economics: Undressing the Dismal Science,Charles Wheelan,"Wheelan, Charles",Burton G. Malkiel,"=""0393337642""","=""9780393337648""",0,3.98,W. W. Norton & Company,Paperback,384,2010,2002,,2016/01/28,physically-unread-books,physically-unread-books (#7),physically-unread-books,,,,,,,0,,,,,
21955937,More Than Two: A Practical Guide to Ethical Polyamory,Franklin Veaux,"Veaux, Franklin","Eve Rickert, Tatiana Gill","=""0991399706""","=""9780991399703""",0,4.55,Thorntree Press,Paperback,496,2014,2014,,2016/01/28,physically-unread-books,physically-unread-books (#6),physically-unread-books,,,,,,,0,,,,,
8537671,The Phenomenon of Man,Pierre Teilhard de Chardin,"Chardin, Pierre Teilhard de",,"=""""","=""""",0,4.10,Collins,Hardcover,320,1959,1955,,2016/01/28,physically-unread-books,physically-unread-books (#5),physically-unread-books,,,,,,,0,,,,,
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",0,3.83,W. W. Norton & Company,Paperback,304,2014,2012,,2016/01/28,physically-unread-books,physically-unread-books (#4),physically-unread-books,,,,,,,0,,,,,
18766,"I, Claudius",Robert Graves,"Graves, Robert",,"=""0394725360""","=""9780394725369""",0,4.27,Vintage Books ,Paperback,432,1989,1934,,2016/01/28,physically-unread-books,physically-unread-books (#3),physically-unread-books,,,,,,,0,,,,,
25110998,"Drawing on the Right Side of the Brain Deluxe: The Definitive, 4th Edition",Betty Edwards,"Edwards, Betty",,"=""""","=""9781101596661""",0,3.92,Tarcher,Kindle Edition with Audio/Video,320,2012,2012,,2016/01/28,"physically-unread-books, technical","physically-unread-books (#2), technical (#1)",physically-unread-books,,,,,,,0,,,,,
25614984,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondō,"Kondō, Marie",,"=""1607749726""","=""9781607749721""",0,3.91,Ten Speed Press,Hardcover,291,2016,2016,,2016/01/22,physically-unread-books,physically-unread-books (#55),physically-unread-books,,,,,,,0,,,,,
24792435,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",3,3.99,The Borough Press,Kindle Edition,880,2015,2015,2015/12/11,2015/11/29,,,read,,,,,,,0,,,,,
22011085,The Life-Changing Magic of Tidying,Marie Kondō,"Kondō, Marie",,"=""""","=""""",4,3.79,Ebury Digital,Kindle Edition,256,2014,2010,2015/11/26,2015/11/26,,,read,,,,,,,0,,,,,
8855321,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.11,Orbit,Paperback,561,2011,2011,,2015/10/20,to-read,to-read (#44),to-read,,,,,,,0,,,,,
256566,Everything Is Illuminated,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0060529709""","=""9780060529703""",0,3.89,Harper Perennial,Paperback,276,2003,2001,,2015/10/20,to-read,to-read (#43),to-read,,,,,,,0,,,,,
25680785,"The Dark Forest (Three-Body, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",5,4.43,Head of Zeus,Kindle Edition,513,2015,2008,2015/10/24,2015/10/18,,,read,,,,,,,0,,,,,
24856109,The Three-Body Problem,Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",5,4.00,Head of Zeus,Kindle Edition,400,2015,2008,2015/10/15,2015/10/15,,,read,,,,,,,0,,,,,
12359421,Ready Player One,Ernest Cline,"Cline, Ernest",,"=""""","=""""",3,4.31,Cornerstone Digital,Kindle Edition,386,2011,2011,2015/09/30,2015/09/30,,,read,,,,,,,0,,,,,
